model,symbol,n_test,viol,pi_hat,kupiec_p,TL,QS,width,converged
Lag-Llama,ETH,762,0,0.0,9.090871049055593e-05,Green,0.0014804148553278075,0.14836715953783883,1
Lag-Llama,EURUSD,1582,2,0.0012642225031605564,1.0117645425467003e-05,Green,0.00019130237759122328,0.018472320074795743,1
Lag-Llama,GBPUSD,1585,11,0.00694006309148265,0.1950650720454501,Green,0.00020174536512120202,0.01534321702588606,1
Lag-Llama,USDJPY,1888,15,0.007944915254237288,0.3519372215211136,Green,0.00020008867506226478,0.015639879120475743,1
Lag-Llama,AUDUSD,1395,1,0.0007168458781362007,5.232900054830125e-06,Green,0.0002597578153557891,0.023776538111004275,1
GJR-GARCH,SP500,1902,20,0.010515247108307046,0.8227871998864955,Green,0.00047881677809573646,0.037161632125707306,1
GJR-GARCH,STOXX,1577,0,0.0,1.800371796090161e-08,Green,0.0005185031723625878,0.05159959996580826,1
GJR-GARCH,GDAXI,1922,30,0.015608740894901144,0.022380650679893366,Green,0.00046857900828641534,0.03157555990106382,1
GJR-GARCH,FCHI,1935,23,0.011886304909560724,0.41803185904765616,Green,0.0004436554478654529,0.0311774732773772,1
GJR-GARCH,FTSE100,1911,26,0.013605442176870748,0.133172143936514,Green,0.0003831651937025465,0.026513096310012047,1
GJR-GARCH,ICLN,1263,12,0.009501187648456057,0.8574177948902022,Green,0.0005498393421088693,0.04535876857519952,1
GJR-GARCH,NIKKEI,1851,19,0.010264721772015126,0.9092606263751073,Green,0.0004883704300202565,0.03554965051322609,1
GJR-GARCH,HSI,1862,21,0.011278195488721804,0.586975071178917,Green,0.0005236107150250347,0.036244323911086784,1
GJR-GARCH,BOVESPA,1873,9,0.004805125467164976,0.011946898072929923,Green,0.0005050232510530343,0.03989956263552863,1
GJR-GARCH,NIFTY,1287,2,0.001554001554001554,0.00014894756117322938,Green,0.0004747375953824539,0.046763523402306974,1
GJR-GARCH,ASX200,1912,33,0.017259414225941423,0.0038293293670698114,Yellow,0.00037716284261765957,0.027330583962436875,1
GJR-GARCH,CBU0,1055,39,0.03696682464454976,1.2687850770021214e-11,Red,0.00019100632220040808,0.008976899252671441,1
GJR-GARCH,TLT,1709,26,0.015213575190169689,0.04426662131286041,Green,0.00034981598196465944,0.023435542192141633,1
GJR-GARCH,IBGL,1305,10,0.007662835249042145,0.3761843979564674,Green,0.0002457346660181455,0.02252857546696646,1
GJR-GARCH,DJCI,772,7,0.009067357512953367,0.7913090267112828,Green,0.00029062403738575347,0.02457370649647832,1
GJR-GARCH,GOLD,1848,18,0.00974025974025974,0.9102630048221472,Green,0.0004271880685725836,0.029148796126279814,1
