model,symbol,pi_hat,kupiec_p,kupiec_rej,qs,width,traffic_light,gamma
Lag-Llama,GBPUSD,0.0138801261829653,0.1425192636728312,False,2.223023164322958,0.01634386697202541,Green,0.001
Lag-Llama,USDJPY,0.013241525423728813,0.17746885569963744,False,2.3834951702051126,0.018355254407567727,Green,0.001
Lag-Llama,AUDUSD,0.012903225806451613,0.2969126723644476,False,2.5723494432086427,0.019295421746747074,Green,0.001
GJR-GARCH,SP500,0.012092534174553101,0.37453480021221885,False,4.454430176710542,0.03462345663232353,Green,0.001
GJR-GARCH,STOXX,0.01077996195307546,0.7585282787838201,False,3.957836137176397,0.03130547202642643,Green,0.005
GJR-GARCH,GDAXI,0.011966701352757543,0.40061365869606225,False,4.125069468074787,0.03403769065359068,Green,0.001
GJR-GARCH,CACT,0.011886304909560724,0.41803185904765616,False,4.048757124164752,0.03270204054563838,Green,0.001
GJR-GARCH,FTSE100,0.012035583464154892,0.3861607757173292,False,3.432346307413947,0.025503305334225075,Green,0.001
GJR-GARCH,ICLN,0.014251781472684086,0.15343329232641822,False,6.289131664419698,0.04911822648994285,Green,0.001
GJR-GARCH,NIKKEI,0.011345218800648298,0.5690586997989819,False,4.594578622555627,0.0372217308498481,Green,0.001
GJR-GARCH,HSI,0.011815252416756176,0.44409711846840383,False,5.148259905578718,0.035728476015377195,Green,0.001
GJR-GARCH,BOVESPA,0.012813667912439935,0.2408686232771038,False,4.647043328960159,0.03724914322261449,Green,0.001
GJR-GARCH,NIFTY,0.014763014763014764,0.10876614914161875,False,3.105034756032085,0.023103847930656576,Green,0.001
GJR-GARCH,ASX200,0.01202928870292887,0.3874636838587856,False,3.3226371405774415,0.026794471622275568,Green,0.001
GJR-GARCH,CBU0,0.012322274881516588,0.46444449587713976,False,1.5019680018855948,0.012123576451180137,Green,0.001
GJR-GARCH,TLT,0.012287887653598596,0.35875164387277547,False,3.0363738277980916,0.025186117167259454,Green,0.001
GJR-GARCH,IBGL,0.014559386973180077,0.1211665531208107,False,2.58698776806586,0.021314607761625415,Green,0.001
GJR-GARCH,DJCI,0.018134715025906734,0.04142492591536684,True,3.0258619596389695,0.025350355196253095,Yellow,0.001
GJR-GARCH,GOLD,0.010822510822510822,0.7258123575615794,False,4.104031559172899,0.030518687850681247,Green,0.001
GJR-GARCH,WTI,0.012432432432432432,0.31101847403066896,False,10.921086259799322,0.08215128121450085,Green,0.001
GJR-GARCH,NATGAS,0.013513513513513514,0.14940154879290224,False,14.33206497022375,0.11474810541684206,Green,0.001
GJR-GARCH,BTC,0.015189873417721518,0.09533639810531203,False,9.876639939222596,0.0769004617799044,Green,0.001
GJR-GARCH,ETH,0.013079667063020214,0.39143203640410706,False,14.440244607939928,0.1117341031307032,Green,0.001
GJR-GARCH,EURUSD,0.01144578313253012,0.5627964377232011,False,1.6244229745813938,0.012497110401511241,Green,0.001
GJR-GARCH,GBPUSD,0.013221153846153846,0.20822688825403812,False,1.9795994556706837,0.015262949815978474,Green,0.001
GJR-GARCH,USDJPY,0.011698880976602238,0.4609827225645565,False,2.1812550968690925,0.015592908545550661,Green,0.001
GJR-GARCH,AUDUSD,0.012219959266802444,0.4079329032173703,False,2.239992382278823,0.016691239841161266,Green,0.001
GARCH-N,SP500,0.012092534174553101,0.37453480021221885,False,4.0446051742047295,0.03178275514413997,Green,0.001
GARCH-N,STOXX,0.012682308180088777,0.3040408952482575,False,4.137347416720855,0.02991206569284226,Green,0.001
