n_test,viol,pi_hat,kupiec_p,TL,QS,width,model,symbol,w
1848,15,0.008116883116883116,0.40029188688295214,Green,0.00041384314553967694,0.033777157608349664,GJR-GARCH,GOLD,250
1850,17,0.009189189189189189,0.7223238704520697,Green,0.0011013947923369165,0.08903179215869568,GJR-GARCH,WTI,250
1850,16,0.008648648648648649,0.549849620190038,Green,0.0015176109265122412,0.12913069391385823,GJR-GARCH,NATGAS,250
1185,10,0.008438818565400843,0.5788728872785773,Green,0.0010244370537905443,0.0877107115523036,GJR-GARCH,BTC,250
841,9,0.01070154577883472,0.8397812285703851,Green,0.0014070271735306366,0.11932061921445904,GJR-GARCH,ETH,250
1660,15,0.009036144578313253,0.6882536391209162,Green,0.00016188576629971722,0.013567297186136014,GJR-GARCH,EURUSD,250
1664,19,0.01141826923076923,0.5696280762766963,Green,0.00020364184702172274,0.01649238765650384,GJR-GARCH,GBPUSD,250
1966,16,0.008138351983723296,0.3912796573125834,Green,0.00023190027556072457,0.018636278036386313,GJR-GARCH,USDJPY,250
1473,14,0.009504412763068567,0.8471474790146846,Green,0.00023419759763700668,0.018496647151890918,GJR-GARCH,AUDUSD,250
1902,13,0.006834910620399579,0.1411716153729592,Green,0.00041089889717863453,0.034961941478463106,GARCH-N,SP500,250
1577,12,0.007609384908053266,0.31919787800788835,Green,0.0004113264833624099,0.03291837724540604,GARCH-N,STOXX,250
1922,17,0.008844953173777315,0.6036706809469685,Green,0.0004541902655647638,0.03768061889106345,GARCH-N,GDAXI,250
1935,20,0.0103359173126615,0.8825810015022406,Green,0.00043902733738477104,0.036262063470765986,GARCH-N,CACT,250
1911,15,0.007849293563579277,0.3261621857347169,Green,0.00037558734351934153,0.03000633442008295,GARCH-N,FTSE100,250
1263,9,0.007125890736342043,0.2791503449651721,Green,0.0006045188567328323,0.051070710862624706,GARCH-N,ICLN,250
1851,14,0.007563479200432199,0.2709394929358042,Green,0.00049218370486579,0.04052384534777838,GARCH-N,NIKKEI,250
1862,16,0.008592910848549946,0.5317739851882423,Green,0.0005639077578505695,0.04271709470180219,GARCH-N,HSI,250
1873,13,0.0069407367859049655,0.15906606912334786,Green,0.000497576748001962,0.04132960404463495,GARCH-N,BOVESPA,250
1287,10,0.00777000777000777,0.40272278013069795,Green,0.0003193098089373143,0.026582382125406232,GARCH-N,NIFTY,250
1912,18,0.009414225941422594,0.7948798349628925,Green,0.0003515127701264866,0.029220209182272524,GARCH-N,ASX200,250
1055,9,0.008530805687203791,0.6227107009252699,Green,0.00013877824365800018,0.012833849904755565,GARCH-N,CBU0,250
1709,15,0.008777062609713282,0.6038139451146114,Green,0.000289946239994993,0.026020343820829395,GARCH-N,TLT,250
1305,12,0.009195402298850575,0.7671249534425753,Green,0.00023260774947075034,0.021258583374018203,GARCH-N,IBGL,250
772,9,0.011658031088082901,0.6518874883212915,Green,0.0003387801788341032,0.027751806027399767,GARCH-N,DJCI,250
1848,21,0.011363636363636364,0.564205766162096,Green,0.00041533821431930814,0.03176169009820642,GARCH-N,GOLD,250
1850,17,0.009189189189189189,0.7223238704520697,Green,0.0011662836302287895,0.09116363816277263,GARCH-N,WTI,250
1850,18,0.00972972972972973,0.9065746205110985,Green,0.0014717376518513655,0.1210123440936966,GARCH-N,NATGAS,250
1185,9,0.007594936708860759,0.3848792824820566,Green,0.0009165789096080368,0.07648084229513348,GARCH-N,BTC,250
841,9,0.01070154577883472,0.8397812285703851,Green,0.0013356767241564816,0.1104435383530374,GARCH-N,ETH,250
1660,12,0.007228915662650603,0.23258895397141166,Green,0.000155168390629357,0.012801340115107671,GARCH-N,EURUSD,250
1664,17,0.010216346153846154,0.9295721963821353,Green,0.0001952308498093895,0.015481667783213752,GARCH-N,GBPUSD,250
1966,16,0.008138351983723296,0.3912796573125834,Green,0.00022050310857429326,0.017541212592980217,GARCH-N,USDJPY,250
