alpha,model,symbol,n_cal,n_test,qV,pihat_raw,pihat_cp,viol_raw,viol_cp,p_kup_raw,p_kup_cp,p_cc_raw,p_cc_cp,TL_raw,TL_cp,QS_raw,QS_cp,VaR_width,raw_width
0.025,Chronos-Small,NATGAS,4131,1771,0.0536056816066021,0.3929983060417843,0.0643704121964991,696,114,0.0,0.0,0.5900431639480576,0.6061309740856989,Red,Red,0.012127365285054,0.0034549452303876,0.0637464723273798,0.010140790720777705
0.05,Chronos-Small,NATGAS,4131,1771,0.0401973609568778,0.4009034443817053,0.1010728402032749,710,179,0.0,0.0,0.7066413364875034,0.2254017183218938,Red,Red,0.0126277136371675,0.0055260687612523,0.0496930320792253,0.009495671122347497
0.1,Chronos-Small,NATGAS,4131,1771,0.0282778230141815,0.4161490683229814,0.1699604743083003,737,301,0.0,0.0,0.474769225486245,0.2035243827606886,Red,Red,0.0135151215461902,0.0084832678860799,0.0366058348040753,0.008328011789893803
0.01,Chronos-Small,BTC,2581,1107,0.1076154902177485,0.3396567299006323,0.000903342366757,376,1,0.0,8.590099648342342e-05,0.7339597606113064,0.9990954318695188,Red,Green,0.0058534355296423,0.0011801804382662,0.1134015322621791,0.005786042044430603
0.025,Chronos-Small,BTC,2581,1107,0.0806291930816825,0.3468834688346883,0.002710027100271,384,3,0.0,1.4665116898626707e-09,0.9816339736733116,0.9918736240899264,Red,Green,0.0060323488632235,0.002245637223427,0.0861771504575456,0.005547957375863111
0.05,Chronos-Small,BTC,2581,1107,0.0574614063377834,0.3559168925022583,0.011743450767841,394,13,0.0,2.958300271416192e-12,0.9824103455455544,0.8567372871343231,Red,Green,0.0062763505914534,0.0033789031729503,0.0627358050320459,0.005274398694262501
0.1,Chronos-Small,BTC,2581,1107,0.036468959927503,0.3676603432700994,0.039747064137308,407,44,0.0,5.4067861299245124e-14,0.9903535515440604,0.6671384703597089,Red,Red,0.0067140364712842,0.0049457961509437,0.0412795611409208,0.004810601213417802
0.01,Chronos-Small,ETH,1776,762,0.1261646028124714,0.3937007874015748,0.0039370078740157,300,3,0.0,0.0552259083067375,0.9946186787704536,0.9881968285247934,Red,Green,0.0104309180347953,0.0013988306547373,0.1330403806798918,0.006875777867420385
0.025,Chronos-Small,ETH,1776,762,0.0836189687791564,0.3989501312335958,0.0131233595800524,304,10,0.0,0.021080142244943,0.9669301428026134,0.8753252675017522,Red,Green,0.0107077416767662,0.0026218464221938,0.0900123898897512,0.0063934211105948074
0.05,Chronos-Small,ETH,1776,762,0.0614374660751612,0.4028871391076115,0.0393700787401574,307,30,0.0,0.1626640415360729,0.997250494105449,0.0196239846418535,Red,Red,0.0110222367301378,0.0043046407291331,0.0673647389631921,0.005927272888030903
