n_cal,n_test,qV,pihat_raw,pihat_cp,viol_raw,viol_cp,p_kup_raw,p_kup_cp,p_cc_raw,p_cc_cp,TL_raw,TL_cp,QS_raw,QS_cp,VaR_width,raw_width,model,symbol,alpha
4131,1771,0.010106294123557645,0.19367588932806323,0.12987012987012986,343,230,0.0,5.689661355023912e-05,0.14377842719984568,0.13540598777999935,Red,Red,0.008824658469090724,0.00821934073818071,0.04680936141475959,0.036703067291201937,Lag-Llama,NATGAS,0.1
2818,1208,0.006109485689649412,0.029801324503311258,0.011589403973509934,36,14,2.2529499821288823e-08,0.5881415432866741,0.9408832365117378,,Yellow,Green,0.00037203985596798313,0.0003186927862311498,0.026056311760251253,0.019946826070601845,Lag-Llama,NIFTY,0.01
2818,1208,0.005805554774432805,0.06456953642384106,0.020695364238410598,78,25,1.6442402994698568e-13,0.3235308172681206,0.3745767519564738,,Red,Yellow,0.0007251273113249644,0.0006477026478882568,0.019769901779049942,0.013964347004617137,Lag-Llama,NIFTY,0.025
2818,1208,0.004996590348350557,0.10347682119205298,0.04470198675496689,125,54,6.106226635438361e-14,0.38995593591267097,0.01942102870108231,0.7733395077807723,Red,Red,0.0011456215717378152,0.0010512617287683891,0.015286197576562993,0.010289607228212434,Lag-Llama,NIFTY,0.05
2818,1208,0.0041001930711490435,0.1804635761589404,0.0836092715231788,218,101,0.0,0.05133709549850174,0.016975455874144285,0.023846995044902952,Red,Red,0.0017624690728793822,0.0016610120031304485,0.011196722037246044,0.0070965289660970005,Lag-Llama,NIFTY,0.1
4134,1772,0.011381577724163951,0.03329571106094808,0.007336343115124154,59,13,7.882583474838611e-15,0.23683598367476755,0.9600111887002213,,Yellow,Green,0.0005422182112714176,0.00046723827559047717,0.039986235886716376,0.028604658162552424,Lag-Llama,NIKKEI,0.01
4134,1772,0.008968563864627507,0.0716704288939052,0.019751693002257337,127,35,0.0,0.14206869149487877,0.9898257994391451,0.7028694751828357,Red,Yellow,0.001075906149883302,0.0009101568598631846,0.029114514750517843,0.020145950885890336,Lag-Llama,NIKKEI,0.025
4134,1772,0.007607168451818835,0.10891647855530474,0.050225733634311515,193,89,0.0,0.965248391989536,0.32325195967121567,0.23048216320430148,Red,Red,0.001742553360975334,0.0015392152599907737,0.022503497225245354,0.01489632877342652,Lag-Llama,NIKKEI,0.05
4134,1772,0.0055904917375271725,0.1755079006772009,0.09367945823927765,311,166,0.0,0.3705625441906083,0.2837814649591728,0.3150475652847019,Red,Red,0.0026481726715620536,0.002486744446776031,0.016003088689181977,0.010412596951654803,Lag-Llama,NIKKEI,0.1
4254,1824,0.008219084752491997,0.029605263157894735,0.010416666666666666,54,19,9.580114479490476e-12,0.859006300282899,0.6009660414331252,,Yellow,Green,0.0005114043508825965,0.0004574410964203475,0.03349326191507681,0.02527417716258481,Lag-Llama,SP500,0.01
4254,1824,0.007098035373990426,0.07017543859649122,0.02850877192982456,128,52,0.0,0.34765343291514583,0.9762387975772064,0.665094331643002,Red,Yellow,0.0010449985550645897,0.0008996674193067897,0.0246282195503429,0.017530184176352475,Lag-Llama,SP500,0.025
4254,1824,0.005830771311926401,0.11403508771929824,0.05317982456140351,208,97,0.0,0.5372207439516083,0.10970305168198669,0.5918709355836267,Red,Red,0.0016484966992807602,0.0014776989498155883,0.018760228877147064,0.012929457565220666,Lag-Llama,SP500,0.05
4254,1824,0.0038316274196861008,0.1699561403508772,0.11074561403508772,310,202,0.0,0.13194562063637139,0.6847963320651272,0.9482392163530975,Red,Red,0.002461743989530468,0.0023187304658664047,0.012789455977771301,0.008957828558085199,Lag-Llama,SP500,0.1
3495,1498,0.012709359384210278,0.024699599465954607,0.0026702269692923898,37,4,1.4603314996142203e-06,0.000704354473280211,0.31112133616014426,,Yellow,Green,0.00037564077278498927,0.0003611080798006363,0.034089460537542006,0.021380101153331724,Lag-Llama,STOXX,0.01
3495,1498,0.008349998198610953,0.06608811748998665,0.015353805073431242,99,23,0.0,0.010101450801336398,0.3277474699255175,0.3637870442930493,Red,Green,0.0007816978407403805,0.0007046721022009724,0.023254476984075647,0.014904478785464696,Lag-Llama,STOXX,0.025
3495,1498,0.006972677029747187,0.11148197596795728,0.03404539385847797,167,51,0.0,0.0027032348963856867,0.06140926440078054,0.12443530419747784,Red,Yellow,0.00127499893193522,0.0011613145230619062,0.017963594012387542,0.010990916982640354,Lag-Llama,STOXX,0.05
3495,1498,0.004318202119063957,0.16955941255006676,0.08744993324432576,254,131,1.1102230246251565e-16,0.09874080856733736,0.06545462544070313,0.09024745804781387,Red,Red,0.00193306553046418,0.0018332979288921275,0.011955259487982955,0.0076370573689189996,Lag-Llama,STOXX,0.1
3803,1631,0.00457032730886478,0.0269773145309626,0.011036174126302882,44,18,1.2357839973553553e-08,0.6791097305359894,,,Yellow,Green,0.0003474735387158827,0.0003170209360096975,0.027227903434501842,0.022657576125637062,Lag-Llama,TLT,0.01
3803,1631,0.004581935350227111,0.0674432863274065,0.0269773145309626,110,44,0.0,0.6134736680526133,0.05123786058433644,,Red,Yellow,0.0007475887936379566,0.0006527958754839358,0.020794384297473517,0.016212448947246407,Lag-Llama,TLT,0.025
3803,1631,0.004588808826927201,0.12078479460453709,0.061312078479460456,197,100,0.0,0.042596572558805335,0.09844127572727845,0.3302747045878466,Red,Red,0.0012885652103207521,0.0011179737869955286,0.0167782831470363,0.012189474320109103,Lag-Llama,TLT,0.05
3803,1631,0.0036608930879114916,0.2023298589822195,0.11342734518700184,330,185,0.0,0.07613545461562388,0.2913877274324046,0.20342251709453074,Red,Red,0.0020598802684778385,0.0018559004634189965,0.012295400889710066,0.008634507801798575,Lag-Llama,TLT,0.1
4403,1888,0.00480167730304349,0.029661016949152543,0.010063559322033898,56,19,3.706479567711085e-12,0.977879617810962,,,Yellow,Green,0.0002477963984765766,0.00021996067639489734,0.016941672261328398,0.012139994958284907,Lag-Llama,USDJPY,0.01
4403,1888,0.00387164245727367,0.06991525423728813,0.02065677966101695,132,39,0.0,0.2129055476475742,0.656052715189031,,Red,Yellow,0.0004736062076735868,0.0004175061693232535,0.01232826332289833,0.008456620865624662,Lag-Llama,USDJPY,0.025
4403,1888,0.0034069784049081953,0.1170550847457627,0.0423728813559322,221,80,0.0,0.11880588566747663,0.49395127957332063,0.11444519989244062,Red,Red,0.0007628727043701041,0.0006744445619157657,0.009638549186711302,0.006231570781803107,Lag-Llama,USDJPY,0.05
4403,1888,0.0028235145071346356,0.1885593220338983,0.08315677966101695,356,157,0.0,0.012234811873674478,0.24362873517796735,0.15467258034932474,Red,Red,0.0011618099537415176,0.0010731071100053776,0.0071586727648372955,0.004335158257702661,Lag-Llama,USDJPY,0.1
4132,1772,0.01690681812634271,0.02708803611738149,0.011851015801354402,48,21,2.3854026531822115e-09,0.44673078787806986,0.7777859247849646,0.24811534561269877,Yellow,Green,0.00137316083755946,0.0012335889507974842,0.07477881121116138,0.05787199308481866,Lag-Llama,WTI,0.01
4132,1772,0.012492745243195689,0.06659142212189616,0.02708803611738149,118,48,0.0,0.5784805273291588,0.10715498040051996,0.7777859247849646,Red,Yellow,0.00242934012051722,0.002194105425930666,0.05389919491763883,0.04140644967444315,Lag-Llama,WTI,0.025
4132,1772,0.0112163485019902,0.10948081264108352,0.05248306997742664,194,93,0.0,0.6341381604968146,0.41865786052459564,0.664017842036452,Red,Red,0.0037385085556919024,0.0034120019345813012,0.04239637250985108,0.03118002400786088,Lag-Llama,WTI,0.05
4132,1772,0.008927640977312329,0.1721218961625282,0.09988713318284424,305,177,0.0,0.9873622013706481,0.9527724799133083,0.19766819886140086,Red,Red,0.0055612311817384245,0.005259323411000227,0.031079159537105723,0.022151518559793394,Lag-Llama,WTI,0.1
