model,symbol,n_test,viol,pi_hat,kupiec_p,TL,QS,width
Moirai-2.0,CBU0,976,21,0.02151639344262295,0.0017141570109432402,Yellow,0.00016415555843140683,0.011385965771721084
Moirai-2.0,TLT,1631,34,0.020846106683016553,0.00012170383653298256,Yellow,0.00033029712106216156,0.020456144308566845
Moirai-2.0,IBGL,1226,16,0.013050570962479609,0.30517715374895826,Green,0.00024456034968317646,0.01952340910894499
Moirai-2.0,DJCI,693,36,0.05194805194805195,3.885780586188048e-15,Red,0.0005594960028981488,0.015425229346933071
Moirai-2.0,GOLD,1770,34,0.0192090395480226,0.0005487616693885533,Yellow,0.00048006149462074025,0.024543291931642987
Moirai-2.0,WTI,1772,31,0.017494356659142212,0.004150050367136893,Yellow,0.0012342366928415572,0.05650356141814759
Moirai-2.0,NATGAS,1771,70,0.039525691699604744,0.0,Red,0.001958344101800072,0.07245108854148424
Moirai-2.0,BTC,1107,1,0.0009033423667570009,8.590099648342342e-05,Green,0.0010833446151252168,0.10273051844773136
Moirai-2.0,ETH,762,19,0.024934383202099737,0.0004957140672507965,Yellow,0.001502224855113878,0.0773413887505477
Moirai-2.0,EURUSD,1582,30,0.018963337547408345,0.0014320037861086377,Yellow,0.00016094061524515388,0.010010436061245315
Moirai-2.0,GBPUSD,1585,15,0.00946372239747634,0.8285815908315615,Green,0.0001968854634112657,0.014309919878110687
Moirai-2.0,USDJPY,1888,27,0.014300847457627119,0.07767230805300085,Green,0.00020300179168349352,0.013219033093459481
Moirai-2.0,AUDUSD,1395,11,0.007885304659498209,0.40977834891703446,Green,0.00021615783706904922,0.016123662042193586
Lag-Llama,SP500,1824,28,0.015350877192982455,0.033232742379692204,Green,0.00046285956730310806,0.026732098923579698
Lag-Llama,STOXX,1498,16,0.010680907877169559,0.7933427550123541,Green,0.00034686783626032466,0.026651593793507077
Lag-Llama,GDAXI,1843,37,0.020075963103635377,0.00013129753561513802,Yellow,0.0004866235050934206,0.027581745803909347
